salah,benar
adek,adik
agk,agak
aq,aku
anjai,anjay
anjayy,anjay
anjayyy,anjay
anjayyyy,anjay
ajg,anjing
anjeng,anjing
anjengg,anjing
anjg,anjing
anjenk,anjing
anjg,anjing
anjiing,anjing
anjingg,anjing
anjinggg,anjing
anjingggg,anjing
anying,anjing
anyingg,anjing
anyinggg,anjing
njing,anjing
njink,anjing
nying,anjing
anjirr,anjir
anjirr,anjir
anjritt,anjir
asuw,asu
asw,asu
wasu,asu
wasuu,asu
atw,atau
bacoooot,bacot
bcd,bacot
bct,bacot
bkl,bakal
bng,bang
bgt,banget
bngt,banget
bagst,bangsat
bangsad,bangsat
bgsd,bangsat
bgst,bangsat
bnyk,banyak
bpk,bapak
belom,belum
blm,belum
gede,besar
btl,betul
btul,betul
blg,bilang
bs,bisa
boong,bohong
blh,boleh
cantek,cantik
cantiik,cantik
cantikk,cantik
cantikkk,cantik
cantiq,cantik
cantiqq,cantik
cntk,cantik
syantik,cantik
syantikk,cantik
dpt,dapat
drpd,daripada
denger,dengar
dengernya,dengarnya
duid,duit
dlu,dulu
gemass,gemas
gemasss,gemas
gemesh,gemas
gemesh,gemas
gemeshh,gemas
gemess,gemas
gemush,gemas
gemushh,gemas
gilaa,gila
gilaaa,gila
gilaaaa,gila
gimane,gimana
gmana,gimana
gmn,gimana
gtu,gitu
gblk,goblok
hrs,harus
idup,hidup
cute,imut
cutee,imut
cuteee,imut
imoet,imut
pengen,ingin
jd,jadi
jlan,jalan
jln,jalan
jgn,jangan
jngn,jangan
jls,jelas
jlk,jelek
jijay,jijik
jiji,jijik
jijk,jijik
kalo,kalau
kl,kalau
klo,kalau
kmprt,kampret
kmvrt,kampret
elo,kamu
elu,kamu
km,kamu
kgn,kangen
kngn,kangen
krn,karena
kta,kata
knp,kenapa
kpd,kepada
kereeen,keren
kereen,keren
ktmu,ketemu
kntl,kontol
konthol,kontol
lg,lagi
lakik,laki
liat,lihat
liat,lihat
ucul,lucu
maap,maaf
mn,mana
mantapp,mantap
mantappp,mantap
mantep,mantap
mantepp,mantap
mntp,mantap
mslh,masalah
msih,masih
msk,masuk
msuk,masuk
mdh,mudah
najiss,najis
najong,najis
ntar,nanti
ngentod,ngewe
ngentot,ngewe
ngeue,ngewe
ngewek,ngewe
org,orang
orng,orang
pda,pada
pke,pakai
pantes,pantas
pntat,pantat
prnh,pernah
pny,punya
shbt,sahabat
sja,saja
sm,sama
ampe,sampai
aku,saya
gue,saya
gw,saya
cayang,sayang
cayank,sayang
cynk,sayang
tayang,sayang
sedi,sedih
skrg,sekarang
slalu,selalu
sll,selalu
sllu,selalu
selamaaaat,selamat
selamatt,selamat
selamattt,selamat
selamatttt,selamat
slmt,selamat
syelamaat,selamat
syelamat,selamat
syelamatt,selamat
smkin,semakin
smgt,semangat
smga,semoga
sngaja,sengaja
serem,seram
sdh,sudah
ud,sudah
udah,sudah
udh,sudah
spya,supaya
tae,tai
taee,tai
tajem,tajam
atut,takut
tp,tapi
seterah,terserah
trs,terus
trus,terus
ttp,tetap
tete,tetek
ga,tidak
gak,tidak
gk,tidak
kaga,tidak
kagak,tidak
kgk,tidak
nda,tidak
ndak,tidak
ngga,tidak
nggak,tidak
td,tidak
tdk,tidak
tlg,tolong
utk,untuk
yg,yang
